code,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
E47000001,38.8,0.20409978938194495,0.1236419411188275,,0.46071480885535154,0.7531104144703988,0.29042577967773486,0.6112323914166328,0.9601849113098551,0.9249904372238852,8530.67971897388,360.41731228996736,1739.1499590731703
E47000002,30.5,0.15285114452119736,0.12496812037745474,0.20002732558139538,0.3254122093023256,0.7430511627906978,0.34765808730359876,0.5876615001426446,0.8788439056356486,0.9292848212946226,,,
E47000003,36.6,0.2131177795002399,0.11678790634235053,0.10101602081336437,0.4335549089415309,0.7679351636313843,0.2353284844930239,0.6080358477221135,0.856798129740332,0.9161347221197438,7459.607522498069,310.7307467368801,1755.3121141730517
E47000004,36.9,0.24186925766322465,0.12417081260364843,0.11769610577419688,0.42865272182625763,0.7580679681851049,0.344288506599082,0.6103461906794381,0.9594738199848495,0.9081098514418419,9265.099692222455,394.71401253864184,1713.2246004431947
E47000006,34.7,,0.12790697674418605,0.11447529354207436,0.37508683953033267,0.7603304794520548,0.33447012612156524,0.5848932154962364,0.8536110605050264,0.9334399504867529,8981.91393629155,584.9692934331305,1854.1267788607672
E47000007,35.4,0.30910270971929255,0.13258003766478343,0.12284676424856576,0.4167255911211195,0.7558499276178221,0.30848904580354675,0.6256759621810062,0.9920750831743779,0.9494847825950883,8913.622476575394,409.6593063238837,2001.5500416636994
E47000008,39.9,,0.10268500327439424,,0.43877435800604225,0.8283872734138973,,0.5762271483937234,0.8591940057424721,0.8865483377351945,18019.7166749178,477.16669124325614,9148.400623800424
E47000009,41.4,0.26808040926362264,0.10697674418604651,0.05968033445891622,0.5331723749799003,0.8160109342337997,0.26591455898649574,0.6331349802240762,0.8789043362979665,0.876724114441417,,,
E47000012,37.9,0.18198158425832492,0.09203296703296704,0.056244545080279956,0.4588624948538492,0.8082445450802799,0.286588974481186,0.5822077875385002,0.524566826702724,0.771853126884801,16305.000619379687,392.9259823824167,2018.0055815770181
E47000013,35.4,0.38121912935789065,0.10353104668056345,,0.4366140146834338,0.7722175619684524,,0.6109663055879635,0.8077968067311125,0.8701377797738657,9660.629370074934,397.3850582816936,3340.701050644316
E47000014,35.4,,0.11262472885032537,0.11702031160779836,0.4015003670772494,0.7570981319846644,0.32901349751186637,0.609158294197766,0.44551172875208883,0.8377426158146447,8640.936351378476,286.5709253182789,1641.1245960105903
E47000015,34.4,0.12237607593644745,0.08974859971342973,,0.4084201886792453,0.8000637735849058,,0.5447669990430603,0.45843220697558695,0.719584542645441,8383.779225798418,284.2774440394878,1379.1546279105155
E47000016,37.2,,0.10405601158860454,0.08360316139767054,0.37639517470881867,0.7719975041597338,0.3462940133328954,0.5796859150469166,0.7862533929075725,0.9390806999721452,8642.74368736871,318.7692750268269,1145.1860684141332
E47000017,36.3,0.2221582820971015,0.09624626574879855,,0.3229116365899191,0.769411636589919,,0.5784581049827668,0.7284878371345126,0.7965140952433496,14175.922085045686,376.7451617935634,1082.08346518938
E47000018,36.9,0.24170480549199086,0.10934927649250498,,0.4096872561043594,0.7480732523135244,0.32372505267686086,0.5711381945563252,0.7092578041429181,0.8758471480764188,8043.83700226533,430.7392265980443,1649.9264214657028
E61000001,53.2,0.4124806809998139,0.12602772103388313,0.064,0.607,0.7859999999999999,0.19599999999999987,0.6904400954735046,0.9917096792628952,0.8960774874629905,14090.895400928286,590.1191644767815,3400.488510958737
TLB,42.39,0.3008451985937681,0.11134198176560747,0.088,0.467,0.79,0.263,0.6090345410436593,0.6552771398816937,0.8531649133076342,,,
TLC31,39.7,0.3046739757645701,0.12114014251781473,0.13423503077783996,0.3591673195299384,0.7535618354784556,0.3300152116897715,0.6001054466201672,0.9034003749330477,0.9385021619016352,9102.832648470621,578.6509266242006,1535.8957790700201
TLC32,32.92,,0.13717421124828533,0.10796456456456456,0.37578078078078075,0.7371627627627628,0.3520840538910115,0.572976172450342,0.8208078720910765,0.9340808539405799,8614.19493647241,510.94239437480843,1657.2739681478706
TLC33,31.11,,0.125,0.07600000000000001,0.418,0.84,0.27799999999999997,0.575242850165518,0.8279,0.9189999999999999,9405.307731348526,740.6402899391593,2960.547057608471
TLC41,36.02,0.260388618004512,0.11028164234815066,0.11399999999999999,0.359,0.762,0.3329999999999999,0.6121965793657057,0.5095000000000001,0.764,9604.534861512484,210.132479729659,1312.5357806797438
TLC42,34.87,,0.09662065683008092,0.095,0.42799999999999994,0.738,0.25099999999999995,0.5522007001880418,0.35990000000000005,0.7270000000000001,11801.071534662458,327.7434300649461,2226.9285593693035
TLC43,35.73,0.20766050669587646,0.11902439024390243,0.11165528574036881,0.45521435092203766,0.7620788752966954,0.34876125743806674,0.6279854245924459,0.974972795907217,0.9030911268853294,7240.782848207362,248.24057561294327,1124.7754998259516
TLC44,37.84,0.711923119901665,0.11834319526627218,0.163,0.28300000000000003,0.752,0.34800000000000003,0.6112617324537996,0.9852999999999998,0.9090000000000001,8857.62355671427,492.06369125547985,3307.1164925055186
TLD13,32.07,0.21916473882868623,0.10407488986784141,0.10300000000000001,0.341,0.845,0.41800000000000004,0.5825712593363094,0.45660000000000006,0.624,,,
TLD14,41.41,0.29846370352996365,0.08006119326874044,0.134,0.34800000000000003,0.834,0.24500000000000002,0.5513022214236569,0.4368,0.696,,,
TLD33,44.77,0.2839866445829061,0.13969597844910525,0.055,0.603,0.745,0.22100000000000003,0.6795800088633374,0.9997000000000001,0.89,11158.10811061694,437.11408166270155,2001.3564132081913
TLD34,41.26,0.20016915703411334,0.12087682672233821,0.07771658767772512,0.5234398104265403,0.7817611374407584,0.231892078769295,0.6068030967088841,0.9882398966281073,0.9211302629993978,10818.223063779667,500.8611879164322,2913.966244391451
TLD35,37.97,0.1451527224435591,0.10995398401550012,,0.45459974826935173,0.7772186910006293,0.38174428777441777,0.5948960242301263,0.9648915732053241,0.9379646594067773,5947.166457807377,271.5594873348161,1308.0290172750742
TLD36,36.36,0.1281640697173123,0.12403100775193798,0.14039401958189995,0.353581899973538,0.7091473934903415,0.32169371103743694,0.5890357364973027,0.9727857761512657,0.9451766624682161,5554.516736483622,212.00137891581298,768.6460641261349
TLD37,33.15,0.15279254487460128,0.12054739384181928,0.12278863636363638,0.37612348484848485,0.7608891414141413,0.30223250172408506,0.5898457166178604,0.9214780361563274,0.9273997410046576,6384.908234240122,283.0682673723499,1216.938607333628
TLD41,33.27,0.11941562566165573,0.11977030352748154,0.12799999999999997,0.354,0.705,0.27,0.5828460410277899,0.8081999999999999,0.89,6644.159838218412,259.61896765611806,859.9535255290127
TLD42,30.25,0.06401475237091675,0.12098501070663811,0.151,0.35,0.7160000000000001,0.4590000000000001,0.5696947613308294,0.9992000000000001,0.8790000000000001,4830.440285588255,170.6613704423692,788.3335291340363
TLD44,37.07,0.19081882285220894,0.0936046511627907,,0.45429130723291306,0.7387398805573988,0.32940051153233657,0.5739793489314539,0.6070136117168278,0.8867709195384351,7450.792425872614,462.3845973988063,682.2116860715894
TLD45,40.99,0.4208840853205238,0.1104330136588201,,0.44611976549413734,0.8093107202680068,0.3648278307998403,0.5709121684621232,0.6524127424263522,0.8449346154039378,11354.27542639087,631.2309753978581,3160.206027999866
TLD46,36.59,0.1698222119602863,0.11647972389991372,,0.3530456389452332,0.707947261663286,0.2878955181897738,0.564596479574892,0.83088964632582,0.9214444786948996,6445.460602651833,384.05944949996393,1028.620550276191
TLD47,37.49,0.11819298485055275,0.10057621791513882,,0.4513537563822028,0.7572458059810357,0.27264357482813323,0.5711191185353357,0.8210532899046511,0.8381446370971385,6534.588085828339,314.041029062532,1200.9799125413322
TLD61,37.73,0.23235140317238975,0.1122394441475147,0.06,0.506,0.83,0.105,0.6092594249231363,0.9760999999999997,0.937,7255.532448486609,366.73035987813415,1447.8484742847452
